time_s,voltage_V,current_A,power_W,temperature_K,capacity_Ah,soc,energy_Wh,anode_potential_V
108.0,3.911551286242813,97.2511971891557,380.4030454538954,298.7332586434456,1.8165224269182996,0.9274345040134372,7.146941259602064,0.1636877901016239
109.0,3.926693584079088,80.01152114314806,314.18072672520776,298.74131997994687,1.8411393026468275,0.9271287043149462,7.243406591996899,0.15626374773955343
110.0,3.9249631923144244,80.23620342045348,314.9241451163326,298.7481757744334,1.8633959318831528,0.9268522244486564,7.3307822738634885,0.15661237031101782
111.0,3.9192421145925813,84.29641469747573,330.3780585915079,298.755389905141,1.8862481151248003,0.9265683463959652,7.420410376957064,0.15866011492797066
112.0,3.9496256857659886,53.9525618613817,213.09242414059162,298.76084921550483,1.9053436422638828,0.9263311348787094,7.495520947989128,0.14500729631332013
113.0,3.9016486638858496,99.98566197903602,390.1089244682481,298.7675059830539,1.926701734093033,0.9260658169677883,7.579299124477711,0.16593225317210275
114.0,3.9311438619068757,69.03636917834069,271.391898943771,298.77522908943087,1.9501697682509487,0.9257742885931559,7.67117404359825,0.15224622066759896
115.0,3.9328658244920023,66.83605886710389,262.8572517621685,298.78061074435374,1.9690409405305294,0.9255398640927884,7.745375298333766,0.15139105792103763
116.0,3.9234249222570585,75.28609727203995,295.3793503365907,298.786477238173,1.9889187185487427,0.9252929351733075,7.823445885994011,0.15532212141387172
117.0,3.953528121609832,46.11994527417417,182.33650060855405,298.79093938542724,2.005568805211721,0.9250861017986121,7.889011395711918,0.14202915784913042
118.0,3.9465197283389464,53.44346013669433,210.91566978016021,298.7942480579799,2.0194948313430383,0.9249131076851796,7.944014194605812,0.1453425784932232
119.0,3.9093743790716573,88.9815994554651,347.8623851200118,298.8001229366682,2.0392641137421803,0.9246675265373642,8.021624344920399,0.16143845277969404
120.0,3.885630412006537,110.04857551515204,427.60809181967267,298.81035414843956,2.067069347504939,0.9243221199067709,8.129967437621055,0.17091939527594502
121.0,3.8535012809031026,138.68920598579126,534.4390329136809,298.8253197848883,2.1016083424349294,0.9238930640691313,8.26358593486546,0.18361044528448311
122.0,3.867502868619726,119.19330284899706,460.9804406887559,298.84145670168726,2.1374239627855283,0.9234481495306145,8.401838229647696,0.17589240988590998
123.0,3.8555466337583697,127.22795444640337,490.5333114857937,298.85663900941455,2.1716479018042434,0.9230230074310032,8.533993185785375,0.17993761403744157
124.0,3.8565775883821436,121.83841248601901,469.87929099764006,298.8723253580908,2.2062405774177196,0.9225932847525748,8.667383317724513,0.17823674038807336
125.0,4.017277574750479,-30.294659530217565,-121.70205636544391,298.876878526828,2.2185045848236666,0.9224409368344886,8.71504061690044,0.10938288146202846
126.0,4.056475620178605,-60.65338177417436,-246.03896444832367,298.8765349427135,2.2057479733071648,0.9225994040582961,8.663509144082068,0.09478393259759942
127.0,4.025941427936916,-25.253082215547096,-101.667429874668,298.8762612298156,2.1939686863826973,0.9227457306039416,8.61588466647868,0.11001073768953501
