time_s,voltage_V,current_A,power_W,temperature_K,capacity_Ah,soc,energy_Wh,anode_potential_V,speed_m_s,speed_kmh
3126.0,3.7715711732208206,49.81237338377945,187.87091152397466,303.16729580002277,18.219136335117106,0.7236753250296011,70.11558233047252,0.16817925146599927,52.22501705084122,188.0100613830284
3127.0,3.776720780603215,43.674517817444105,164.94645902396653,303.1689619727163,18.232120374849252,0.7235140326105682,70.16458460665508,0.1657000525073254,49.72973072102823,179.02703059570163
3128.0,3.780443766215772,39.40364779777926,148.96327468327644,303.1700796519505,18.24365884191224,0.723370697615997,70.20818294173519,0.1639485939435309,47.84116275239422,172.2281859086192
3129.0,3.780310093337771,39.405041208800874,148.96327501002074,303.1709833000165,18.254604490467333,0.7232347268264927,70.24956162923795,0.16401133447879224,47.84116275239422,172.2281859086192
3130.0,3.780163909322249,39.40656505466947,148.96327501002088,303.1718871583586,18.265550560142458,0.7230987508056836,70.29094031674073,0.16405722705844972,47.84116275239422,172.2281859086192
3131.0,3.7800110471887485,39.40815864038262,148.963275010013,303.1727915754898,18.276497064934745,0.7229627693796925,70.33231900424353,0.16409767084245075,47.84116275239422,172.2281859086192
3132.0,3.7820410716388277,37.14114642463506,140.4693412257214,303.17355953025776,18.287050577335076,0.7228316698467692,70.37222454585684,0.16313627222627514,46.77855491636707,168.40279769892146
3133.0,3.78648564659792,32.466389592088134,122.93351818729782,303.17403221594657,18.296717819007124,0.7227115798881102,70.40880707851716,0.16109541929958662,44.43128274216993,159.95261787181175
3134.0,3.7870220635927763,32.12414964140042,121.65486346613937,303.1742778280131,18.30568871973374,0.7226001401275312,70.44277766855423,0.1609143155222192,44.251019425710815,159.30366993255893
3135.0,3.787578767095546,31.757722719844036,120.28487626498908,303.1744860756371,18.314560798758734,0.72248992796573,70.47637890850966,0.16070809430455169,44.05637462822743,158.60294866161877
3136.0,3.7837982720836165,35.892874860835164,135.81139787854158,303.17488842851174,18.324080248250702,0.7223716739347739,70.51241243624705,0.16247995089207068,46.17636659678156,166.23491974841363
3137.0,3.7838836069055826,35.771379233526226,135.35473547814266,303.1754258522574,18.3340336151282,0.7222480296257366,70.55007438927454,0.16240919928025058,46.11654350860894,166.01955663099218
3138.0,3.7818091621183654,37.89209214480964,143.30066124507442,303.1760841249907,18.344356772846805,0.7221197916416545,70.58912189327266,0.1633332325842468,47.13769710920821,169.69570959314956
3139.0,3.7816642084677428,37.8935445733668,143.3006612450783,303.1768104769701,18.354882556502584,0.7219890365651852,70.6289276325074,0.16334194990590212,47.13769710920821,169.69570959314956
3140.0,3.779357609584093,40.13995633218389,151.7032494124124,303.17767748804624,18.365810553845524,0.7218532850453971,70.67023733812333,0.16434351864824498,48.17476612352745,173.42915804469882
3141.0,3.778978194360763,40.26482927048215,152.15991181281103,303.1786312978291,18.376977895154536,0.7217145603086392,70.71244059146814,0.1644303197551465,48.229951259971806,173.6278245358985
3142.0,3.7720911344648815,47.16625892243559,177.9154271271944,303.18002711906803,18.38931026532843,0.721561363163622,70.7589925539246,0.16749674549973517,51.169332836222836,184.20959821040222
3143.0,3.7709415486623143,47.71354406489999,179.92498574826155,303.181775386458,18.40250777960072,0.7213974188869475,70.80876520536326,0.16783435420044412,51.38569276339209,184.98849394821153
3144.0,3.7697882502097704,48.261145784163105,181.93430031879888,303.18359245912643,18.415838011945922,0.72123182593856,70.8590249865821,0.1681856000091132,51.600359419762384,185.76129391114458
3145.0,3.7707824905874907,46.55294415718683,175.54102671321732,303.18535933637554,18.429005329910794,0.7210682567712945,70.90866940835545,0.16755819993832535,50.911406049407866,183.28106177786833
3146.0,3.7742594519821604,42.37206648966996,159.92317244865342,303.1868142961211,18.441355311436308,0.7209148408517229,70.95525929461192,0.16583299714500388,49.15067397200723,176.94242629922604
3147.0,3.776062846795642,40.199167241431056,151.79458189249226,303.18793915981837,18.452823464083238,0.7207723793281585,70.99855318854722,0.16494578072214797,48.18581254324993,173.46892515569976
3148.0,3.780302568488193,35.611984278640286,134.624075637505,303.18873070970045,18.4633522715399,0.7206415866889453,71.0383320877704,0.16296697223111728,46.02052766680237,165.67389960048854
3149.0,3.7915528250019253,23.99205138661774,90.96713021252185,303.1888119142218,18.47162925603005,0.7205387670058379,71.06966343296409,0.15783557351832297,39.4480529630622,142.01299066702393
